request_id,successful,ttft,request_latency,num_input_tokens,num_output_tokens,decode_speed,submit_time,first_token_time,finish_time,error
doc10_q0,True,0.5693457126617432,2.495872735977173,10014,128,66.44080173851918,1784763852.1842785,1784763852.7536242,1784763854.6801512,
doc2_q1,True,0.5699446201324463,2.496464490890503,10014,128,66.44104841214741,1784763852.1838593,1784763852.753804,1784763854.6803238,
doc4_q1,True,1.989844560623169,3.8586912155151367,10014,128,68.4914407851185,1784763852.1833217,1784763854.1731663,1784763856.042013,
doc13_q1,True,0.07073712348937988,1.9660758972167969,10015,128,67.53410090813065,1784763854.6814783,1784763854.7522154,1784763856.6475542,
doc7_q1,True,0.4912090301513672,2.3795247077941895,10014,128,67.78527632613947,1784763854.6803887,1784763855.1715977,1784763857.0599134,
doc6_q0,True,0.4760565757751465,2.3695168495178223,10013,128,67.60110141998966,1784763856.0421395,1784763856.518196,1784763858.4116564,
doc5_q0,True,0.47557520866394043,2.3691794872283936,10013,128,67.5959604913003,1784763856.6476636,1784763857.1232388,1784763859.016843,
doc11_q0,True,0.45256710052490234,2.341975212097168,10014,128,67.74608366293356,1784763857.059995,1784763857.512562,1784763859.4019701,
doc0_q1,True,0.4899308681488037,2.38739013671875,10014,128,67.45862855673812,1784763858.4117517,1784763858.9016826,1784763860.799142,
doc9_q0,True,0.44980788230895996,2.347957134246826,10013,128,67.43410712794146,1784763859.0169244,1784763859.4667323,1784763861.3648815,
doc10_q1,True,0.43970704078674316,2.312072992324829,10015,128,68.36270436067922,1784763859.4020455,1784763859.8417525,1784763861.7141185,
doc12_q0,True,0.4356091022491455,2.3042943477630615,10014,128,68.49735679525746,1784763860.7992425,1784763861.2348516,1784763863.1035368,
doc5_q1,True,0.08949995040893555,1.959289789199829,10014,128,68.45689143479979,1784763861.3649693,1784763861.4544692,1784763863.324259,
doc1_q1,True,0.47781801223754883,2.3067710399627686,10014,128,69.98539495527744,1784763861.7142193,1784763862.1920373,1784763864.0209904,
doc11_q1,True,0.06258606910705566,1.916557788848877,10015,128,69.0409668265193,1784763863.103666,1784763863.1662521,1784763865.0202239,
doc1_q0,True,0.08964037895202637,1.9566774368286133,10013,128,68.55782506297791,1784763863.3243325,1784763863.4139729,1784763865.28101,
doc13_q0,True,0.44938015937805176,2.335515260696411,10014,128,67.863643442366,1784763864.021064,1784763864.4704442,1784763866.3565793,
doc2_q0,True,0.44312405586242676,2.3131301403045654,10013,128,68.44897514768516,1784763865.0203269,1784763865.463451,1784763867.333457,
doc3_q1,True,0.5395174026489258,2.4037563800811768,10014,128,68.66072512672356,1784763865.2811475,1784763865.820665,1784763867.6849039,
doc12_q1,True,0.04848122596740723,2.0283334255218506,10015,128,64.65129065129499,1784763866.3566804,1784763866.4051616,1784763868.3850138,
doc4_q0,True,0.475818395614624,2.454798460006714,10013,128,64.67978243091575,1784763867.3335395,1784763867.809358,1784763869.788338,
doc8_q1,True,0.5127778053283691,2.376040458679199,10014,128,68.69670240521862,1784763867.684975,1784763868.1977527,1784763870.0610154,
doc7_q0,True,0.5049681663513184,2.3698887825012207,10013,128,68.635629254962,1784763868.385118,1784763868.8900862,1784763870.7550068,
doc8_q0,True,0.08954334259033203,1.9788479804992676,10013,128,67.74979398858046,1784763869.7884471,1784763869.8779905,1784763871.7672951,
doc9_q1,True,0.4483182430267334,2.3159396648406982,10014,128,68.53637386300561,1784763870.0611453,1784763870.5094635,1784763872.377085,
doc0_q0,True,0.49071407318115234,2.3576815128326416,10013,128,68.56038154789353,1784763870.7551446,1784763871.2458587,1784763873.112826,
doc3_q0,True,0.10278654098510742,1.9378881454467773,10013,128,69.75090626524138,1784763871.767399,1784763871.8701856,1784763873.7052872,
doc6_q1,True,0.50473952293396,2.180440902709961,10014,128,76.38592504895495,1784763872.377402,1784763872.8821416,1784763874.557843,
