request_id,successful,ttft,request_latency,num_input_tokens,num_output_tokens,decode_speed,submit_time,first_token_time,finish_time,error
doc0_q1,True,0.047806501388549805,1.931516170501709,10014,128,67.95102350367068,1784763731.1592963,1784763731.2071028,1784763733.0908124,
doc1_q0,True,0.06893467903137207,1.9445948600769043,10013,128,68.24263866850877,1784763731.1601796,1784763731.2291143,1784763733.1047745,
doc2_q0,True,0.10785436630249023,1.9772121906280518,10013,128,68.47271203745095,1784763731.1606362,1784763731.2684906,1784763733.1378484,
doc1_q1,True,0.046831607818603516,1.8981077671051025,10014,128,69.14149429187945,1784763733.0909529,1784763733.1377845,1784763734.9890606,
doc0_q0,True,0.05178475379943848,1.897740125656128,10013,128,69.34078794724907,1784763733.1048355,1784763733.1566203,1784763735.0025756,
doc2_q1,True,0.05160021781921387,1.8895094394683838,10014,128,69.64435375385115,1784763733.1379416,1784763733.1895418,1784763735.027451,
