request_id,successful,ttft,request_latency,num_input_tokens,num_output_tokens,decode_speed,submit_time,first_token_time,finish_time,error
doc7_q0,True,0.04995894432067871,1.921931266784668,10013,128,68.37707933177111,1784763769.3090048,1784763769.3589637,1784763771.230936,
doc5_q0,True,0.08535408973693848,1.9487993717193604,10013,128,68.689969723086,1784763769.3099961,1784763769.3953502,1784763771.2587955,
doc1_q1,True,0.48489832878112793,2.328152656555176,10014,128,69.4423976503424,1784763769.309545,1784763769.7944434,1784763771.6376977,
doc6_q0,True,0.04924941062927246,1.7972180843353271,10013,128,73.22785695501828,1784763771.2310605,1784763771.28031,1784763773.0282786,
doc6_q1,True,0.06836771965026855,1.818636417388916,10014,128,73.13162839818617,1784763771.2588549,1784763771.3272226,1784763773.0774913,
doc2_q1,True,0.08641505241394043,1.8642027378082275,10014,128,71.99959874376759,1784763771.6377597,1784763771.7241747,1784763773.5019624,
doc4_q1,True,0.0488429069519043,1.9130563735961914,10014,128,68.66166471289837,1784763773.0283377,1784763773.0771806,1784763774.941394,
doc0_q1,True,0.32435154914855957,2.1721794605255127,10014,128,69.27051984219555,1784763773.077544,1784763773.4018955,1784763775.2497234,
doc1_q0,True,0.04767298698425293,1.8961093425750732,10013,128,69.24771827433952,1784763773.5020185,1784763773.5496914,1784763775.3981278,
doc2_q0,True,0.04786276817321777,1.8982141017913818,10013,128,69.17605196074288,1784763774.9414554,1784763774.9893181,1784763776.8396695,
doc5_q1,True,0.04820585250854492,1.8972175121307373,10014,128,69.22617244401486,1784763775.2497792,1784763775.297985,1784763777.1469967,
doc7_q1,True,0.04789090156555176,1.9018261432647705,10014,128,69.04232527705875,1784763775.3981826,1784763775.4460735,1784763777.3000088,
doc4_q0,True,0.06229972839355469,1.9298582077026367,10013,128,68.53868375107301,1784763776.8398051,1784763776.9021049,1784763778.7696633,
doc0_q0,True,0.05264711380004883,1.8986854553222656,10013,128,69.33767144535743,1784763777.300087,1784763777.352734,1784763779.1987724,
doc3_q1,True,0.34618377685546875,2.169736862182617,10014,128,70.19263712689592,1784763777.1471229,1784763777.4933066,1784763779.3168597,
doc3_q0,True,0.062142133712768555,1.7001652717590332,10013,128,78.14297431272594,1784763778.769983,1784763778.8321252,1784763780.4701483,
