request_id,successful,ttft,request_latency,num_input_tokens,num_output_tokens,decode_speed,submit_time,first_token_time,finish_time,error
doc2_q1,True,0.5788774490356445,3.1356894969940186,10014,128,50.062342322818985,1784764312.6108756,1784764313.189753,1784764315.746565,
doc10_q0,True,0.5785953998565674,3.1355886459350586,10014,128,50.05879471770448,1784764312.6113305,1784764313.189926,1784764315.7469192,
doc4_q1,True,1.1348285675048828,3.164395570755005,10014,128,63.0676394497065,1784764312.6100414,1784764313.74487,1784764315.774437,
doc13_q1,True,0.06624388694763184,2.9592225551605225,10015,128,44.24505490013542,1784764315.7479527,1784764315.8141966,1784764318.7071753,
doc6_q0,True,0.5938265323638916,2.9632794857025146,10013,128,54.02090799888833,1784764315.7744956,1784764316.3683221,1784764318.737775,
doc7_q1,True,1.854522466659546,4.938451290130615,10014,128,41.50549747640788,1784764315.7470067,1784764317.6015291,1784764320.685458,
doc5_q0,True,0.5881023406982422,3.672748327255249,10013,128,41.495847678413796,1784764318.7072904,1784764319.2953928,1784764322.3800387,
doc11_q0,True,1.1159627437591553,3.672921895980835,10014,128,50.05946218921171,1784764318.737835,1784764319.8537977,1784764322.4107568,
doc0_q1,True,0.5908012390136719,3.1087486743927,10014,128,50.8350564437943,1784764320.6855786,1784764321.2763798,1784764323.7943273,
doc9_q0,True,0.5873544216156006,3.3641583919525146,10013,128,46.096159962083874,1784764322.3801374,1784764322.9674919,1784764325.7442958,
doc12_q0,True,0.584526777267456,2.883096218109131,10014,128,55.686810120093575,1784764323.794443,1784764324.3789697,1784764326.677539,
doc10_q1,True,3.1103556156158447,5.675102472305298,10015,128,49.907459547575385,1784764322.4108176,1784764325.5211732,1784764328.08592,
doc5_q1,True,0.05439591407775879,2.6192715167999268,10014,128,49.904954401745776,1784764325.7443635,1784764325.7987595,1784764328.363635,
doc1_q1,True,0.5911598205566406,2.568817377090454,10014,128,64.72303537946281,1784764326.6776588,1784764327.2688186,1784764329.2464762,
doc11_q1,True,0.05514097213745117,2.509481191635132,10015,128,52.152508842558596,1784764328.086012,1784764328.1411529,1784764330.595493,
doc1_q0,True,0.053288936614990234,3.0284371376037598,10013,128,43.02306687023527,1784764328.3637476,1784764328.4170365,1784764331.3921847,
doc13_q0,True,0.5487532615661621,3.633561849594116,10014,128,41.49366041600247,1784764329.2465625,1784764329.7953157,1784764332.8801243,
doc2_q0,True,0.5906331539154053,3.1133484840393066,10013,128,50.73897893731568,1784764330.5955572,1784764331.1861904,1784764333.7089057,
doc3_q1,True,0.5916118621826172,3.36889910697937,10014,128,46.08813879075993,1784764331.392339,1784764331.9839509,1784764334.761238,
doc4_q0,True,0.57651686668396,3.4072749614715576,10013,128,45.217569186039654,1784764333.7089663,1784764334.2854831,1784764337.1162412,
doc12_q1,True,1.7221765518188477,4.699005842208862,10015,128,42.998770676309036,1784764332.880187,1784764334.6023636,1784764337.5791929,
doc8_q1,True,0.6083717346191406,3.347593069076538,10014,128,46.72860801347222,1784764334.761299,1784764335.3696706,1784764338.108892,
doc7_q0,True,0.591064453125,3.247673749923706,10013,128,48.18171800958607,1784764337.1163564,1784764337.7074208,1784764340.3640301,
doc8_q0,True,0.3616776466369629,2.8121907711029053,10013,128,52.23395815433388,1784764337.5792775,1784764337.9409552,1784764340.3914683,
doc9_q1,True,0.5503568649291992,3.0314667224884033,10014,128,51.58981558596531,1784764338.1090627,1784764338.6594195,1784764341.1405294,
doc0_q0,True,0.5486633777618408,3.11612868309021,10013,128,49.85461721112889,1784764340.3641253,1784764340.9127886,1784764343.480254,
doc3_q0,True,0.542245626449585,3.1038057804107666,10013,128,49.96954680219457,1784764340.3915398,1784764340.9337854,1784764343.4953456,
doc6_q1,True,0.5920066833496094,2.5828545093536377,10014,128,64.29421592554257,1784764341.1409168,1784764341.7329235,1784764343.7237713,
